r,num_nbrs
0.6292786040787169,10
0.3322604191555347,14
0.9655251065602011,2
0.09136322640730588,78
0.8328073802767378,6
0.14977501704442187,45
0.5118469114270139,8
0.7006529634400941,6
0.27740334784685416,10
0.45267389477325026,11
0.9875859789434159,2
0.5472685329708992,8
0.9784974769599419,4
0.9279382540078154,2
0.5561472313825992,8
0.15401640285254847,36
0.4588987402460776,8
0.4604073212499813,7
0.6889356625544278,5
0.1433778105794583,32
0.051952607946177176,90
0.2554590884622274,19
0.2841083704899995,18
0.7285604764051956,9
0.49205086902900463,10
0.6849088989296539,4
0.31188139575575424,15
0.22012738022057676,24
0.38285426942070977,14
0.5807524768209158,8
0.514108639109805,15
0.747879780861834,6
0.544655179333021,8
0.5321944529231523,5
0.7165155369340548,2
0.7029682261959064,10
0.24794125996727046,17
0.4777439130491059,15
0.735421286292716,6
0.6171290108687956,9
0.011215922376816567,91
0.17623800128679912,25
0.5146357577043925,9
0.8283185663544993,6
0.09433319781808536,79
0.5021459809151584,6
0.6582884144687648,5
0.007913709240295663,92
0.8041950935087286,4
0.7010658099234628,6
0.10852548488884839,50
0.3736199315649663,13
0.7845172259512591,3
0.19344902455563806,32
0.5679729299509718,13
0.7719900878165211,12
0.990333058455812,5
0.9288058381733216,6
0.13880262550129152,37
0.3076741568766752,15
0.07513695712782276,76
0.8357980271509073,5
0.7341122057455615,6
0.9415146276999131,5
0.3461185448380826,15
0.5316480241761983,15
0.9324724558736437,11
0.06768665868609025,80
0.5359105786603146,11
0.2707486359144545,19
0.7290722660978539,3
0.4956025593854734,6
0.7285412452630056,10
0.9508710954587082,4
0.956217748183171,2
0.6367018458153919,6
0.8098785707816943,10
0.24323685094040348,18
0.8543077700280741,10
0.6904621139757147,6
0.09706262132141785,57
0.16442458037749874,32
0.5859828488050374,7
0.8595805711300665,5
0.5708286061821293,11
0.20841084608117333,29
0.488329199970737,8
0.2029285120480342,29
0.7020255254960535,3
0.5956580502967908,5
0.015644365217108658,96
0.3161912811320836,19
0.6186728670181099,7
0.9803131898025683,3
0.3510735486493626,14
0.03681349229786102,87
0.4302199713465644,8
0.014774399126817994,94
0.9534421183117311,2
0.9286978116211462,5
0.20426459695795485,19
0.7633233803680283,6
0.9693486599240322,6
0.06383301788244322,84
0.4929863057953552,11
0.22216271724251468,25
0.5225292525445993,9
0.396523142884894,14
0.18285069019431288,33
0.32067153670562887,16
0.10624086966965762,48
0.5501396389142454,6
0.7667633050270315,6
0.19540230646310874,26
0.2639102909811559,20
0.18507570714416832,25
0.489309503967419,11
0.637604611664435,6
0.6643638134229513,13
0.3196390804505722,9
0.639152758566509,6
0.40051726218931083,14
0.25098242449576147,21
0.24125848924789528,21
0.7286530342025047,6
0.3944199324275911,13
0.09754403172568837,58
0.1644333875106554,30
0.598626684512445,7
0.6588809311079912,14
0.2121754014020808,26
0.30934737715983573,18
0.25408593723264994,21
0.07527521903232748,75
0.3892945643811364,13
0.69119220188026,9
0.38055329815529715,13
0.8688199906983439,9
0.507106989665312,9
0.8898661157229073,5
0.8157143080191438,3
0.2937062627267496,14
0.7047341308804235,4
0.36839277582808916,16
0.47778100856708217,5
0.10543294258953728,46
0.9575266695878595,7
0.11559052742512166,43
0.15831886864026457,33
0.7514158470816714,9
0.10801878866086834,59
0.9850090361657062,4
0.6500184518322343,3
0.7439582515563756,7
0.6360094061372363,3
0.890668444228757,7
0.9322893084649528,6
0.8119291671154549,6
0.13252249839129338,35
0.2903674315364144,20
0.6599381294228814,8
0.9011105790259183,6
0.7669843243464055,6
0.19904788651004235,29
0.3497780411371856,14
0.08856389968924971,69
0.09883950550434872,54
0.9034056783991826,3
0.6939796477130842,8
0.7413403563301351,5
0.43617082583954114,7
0.012612989368050997,92
0.8350501130934376,3
0.27102250013861406,12
0.9903954763234201,5
0.8882775993183095,7
0.8503410785623403,6
0.7472420252105774,9
0.5945951626501275,6
0.20453978430351238,31
0.23118959365933067,20
0.006378588786358996,91
0.989428496269061,3
0.6829516825638859,5
0.6953682314397062,7
0.4975507651013199,7
0.06906750998052691,83
0.3262889037618596,12
0.8088216727314896,2
0.2225952879173061,26
0.026721384288624472,94
0.3304196457758867,18
0.6390275165763447,9
0.978731918091133,3
0.25550260967154204,22
0.10099540211419733,54
0.950093004850421,4
0.21246948842946256,19
0.3406768321868172,21
0.6453329529007342,2
0.9218294344391466,9
0.5314835123367987,5
0.8503390940334125,5
0.055747665184484596,90
0.6930868824924874,9
0.9846301671974428,4
0.35201651503375564,15
0.6646256259697454,7
0.0007216192329121407,93
0.1797476321817646,24
0.35802240663234186,9
0.23097405157611228,25
0.16899741538765767,36
0.824972377461064,7
0.11079253002931921,42
